,Electricity Price,Wind Power,Solar Power,HPP Power,Curtailed Power,Battery SOC,Battery Power
8194,54.336,16.260748983930135,11.400092508550662,23.705109311158125,0.0,126.62162280838295,-3.9557321813226736
8195,54.496,11.02536843769659,12.362106920590357,19.431743176964275,0.0,130.51801900698578,-3.9557321813226736
8196,57.46,15.616393160310198,9.339186554213352,20.999847533200878,0.0,134.41441520558863,-3.9557321813226736
8197,60.944,9.507189333414692,3.363364312891319,8.914821464983337,0.0,138.31081140419147,-3.9557321813226736
8198,68.059,3.955732181322679,0.0,5.329070518200751e-15,0.0,142.2072076027943,-3.9557321813226736
8199,86.337,4.613893585791216,0.0,0.658161404468542,0.0,146.10360380139716,-3.9557321813226736
8200,86.337,5.755731894859782,0.0,55.00573189485978,0.0,150.0,49.25
8201,86.337,15.324698829998264,0.0,49.7996988299983,0.0,100.0,34.47500000000004
8202,86.337,7.3986836703651155,0.0,56.648683670365116,0.0,64.99999999999997,49.25
8203,84.542,7.722837337706436,0.0,7.722837337706436,0.0,14.999999999999972,0.0
8204,83.275,4.637200893534576,0.0,4.637200893534576,0.0,14.999999999999972,0.0
8205,78.305,14.673287289477399,0.0,12.13521622348755,0.0,14.999999999999972,-2.538071065989848
8206,74.138,17.234127280860317,0.0,14.696056214870469,0.0,17.49999999999997,-2.538071065989848
8207,62.826,21.6404048968785,0.0,19.102333830888654,0.0,19.99999999999997,-2.5380710659898478
8208,64.044,17.901114775927482,0.0,15.363043709937635,0.0,22.49999999999998,-2.5380710659898478
8209,64.044,13.302854791074552,0.0,10.764783725084705,0.0,24.99999999999998,-2.5380710659898478
8210,64.044,10.472254648365686,0.0,7.934183582375838,0.0,27.49999999999998,-2.5380710659898478
8211,64.044,11.642163499059665,0.0,9.104092433069816,0.0,29.99999999999998,-2.5380710659898478
8212,64.044,18.622867650194298,0.0,16.08479658420445,0.0,32.49999999999997,-2.5380710659898473
8213,64.044,14.494205065164422,0.0,11.956133999174574,0.0,34.99999999999997,-2.538071065989848
8214,64.044,18.104431211043597,0.0,15.566360145053748,0.0,37.499999999999964,-2.538071065989848
8215,75.977,21.641228371746244,4.346578972134261,23.449736277890658,0.0,39.999999999999964,-2.5380710659898478
8216,64.044,14.899016154496339,15.507592751742932,27.868537840249424,0.0,42.499999999999964,-2.5380710659898478
8217,59.342,10.982236879615918,23.538842438794056,31.983008252420127,0.0,44.999999999999964,-2.5380710659898478
8218,52.235,15.409103535639955,29.33668929742127,42.20772176707138,0.0,47.49999999999997,-2.5380710659898478
8219,52.235,12.728890591789934,31.061326618929364,41.25214614472945,0.0,49.99999999999997,-2.5380710659898487
8220,52.235,8.986239345216633,20.682058200577526,27.130226479804314,0.0,52.499999999999964,-2.5380710659898487
8221,61.37,14.320003614457084,5.760286676069385,17.542219224536623,0.0,54.999999999999964,-2.5380710659898487
8222,64.966,11.159909124697865,0.0,8.621838058708015,0.0,57.49999999999997,-2.5380710659898504
8223,66.796,18.67952266351707,0.0,16.14145159752722,0.0,59.999999999999964,-2.5380710659898504
8224,80.478,24.3288563392403,0.0,21.79078527325045,0.0,62.49999999999997,-2.5380710659898504
8225,87.874,31.910919739421473,0.0,81.16091973942147,0.0,64.99999999999997,49.25
8226,77.439,29.871893082464407,0.0,27.333822016474556,0.0,14.999999999999972,-2.5380710659898496
8227,67.238,25.738095967893223,0.0,23.200024901903372,0.0,17.49999999999997,-2.53807106598985
8228,64.966,35.51645307399136,0.0,32.97838200800151,0.0,19.99999999999998,-2.53807106598985
8229,64.966,23.03173532988775,0.0,20.493664263897898,0.0,22.49999999999998,-2.53807106598985
8230,64.044,22.264766710131017,0.0,19.726695644141166,0.0,24.99999999999998,-2.5380710659898504
8231,64.044,25.203471949821957,0.0,22.665400883832106,0.0,27.49999999999997,-2.5380710659898504
8232,38.125,26.06577503960404,0.0,23.52770397361419,0.0,29.99999999999997,-2.538071065989851
8233,37.112,24.445062222908994,0.0,21.906991156919144,0.0,32.49999999999998,-2.5380710659898513
8234,37.112,38.07509868058579,0.0,35.537027614595935,0.0,34.99999999999998,-2.538071065989851
8235,37.112,37.810762058103705,0.0,35.27269099211385,0.0,37.49999999999998,-2.5380710659898504
8236,37.112,44.91989163589656,0.0,42.38182056990671,0.0,39.999999999999986,-2.5380710659898504
8237,37.112,45.846569805592345,0.0,43.3084987396025,0.0,42.49999999999998,-2.5380710659898504
8238,37.112,38.947934996116906,0.0,36.40986393012706,0.0,44.999999999999986,-2.5380710659898504
8239,36.92,32.69645602992605,0.0,30.158384963936196,0.0,47.499999999999986,-2.5380710659898496
8240,36.474,23.83859924112736,3.8982871948022324,25.19881536993974,0.0,49.99999999999998,-2.5380710659898496
8241,35.893,35.06419543338081,10.091559571838726,42.617683939229686,0.0,52.49999999999998,-2.5380710659898496
8242,36.463,72.60793325568727,11.418893046831293,81.48875523652872,0.0,54.99999999999998,-2.5380710659898496
8243,36.463,36.86050043528739,9.643957922867681,43.96638729216523,0.0,57.499999999999986,-2.5380710659898487
8244,36.463,65.48329490261952,6.9816779133794995,69.92690175000916,0.0,59.99999999999999,-2.5380710659898487
8245,36.543,55.94026358672697,2.1572724678869593,55.559464988624086,0.0,62.49999999999999,-2.5380710659898504
8246,37.112,70.62750506080725,0.0,68.0894339948174,0.0,64.99999999999999,-2.5380710659898504
8247,37.158,99.82871882328152,0.0,97.29064775729167,0.0,67.49999999999999,-2.5380710659898504
8248,38.088,62.07142074300232,0.0,59.533349677012474,0.0,70.0,-2.538071065989847
8249,41.477,85.25883048054236,0.0,82.7207594145525,0.0,72.5,-2.538071065989847
8250,41.932,104.08999620249189,0.0,101.63379839669525,0.0,75.0,-2.4561978057966343
8251,40.078,100.28806029028843,0.0,97.8318624844918,0.0,77.41935483870968,-2.4561978057966343
8252,38.168,63.38564496769351,0.0,60.929447161896874,0.0,79.83870967741936,-2.4561978057966307
8253,37.112,53.920417921328735,0.0,51.4642201155321,0.0,82.25806451612904,-2.4561978057966307
8254,37.112,45.66644134516512,0.0,43.21024353936849,0.0,84.67741935483872,-2.456197805796627
8255,37.112,50.236167656620125,0.0,47.7799698508235,0.0,87.0967741935484,-2.456197805796629
8256,45.555,52.305451944302526,0.0,49.8492541385059,0.0,89.51612903225808,-2.456197805796629
8257,45.555,61.25200480062533,0.0,58.7958069948287,0.0,91.93548387096776,-2.456197805796629
8258,45.555,79.34339486449507,0.0,76.88719705869843,0.0,94.35483870967744,-2.456197805796629
8259,45.555,69.87346256488668,0.0,67.41726475909005,0.0,96.77419354838712,-2.456197805796629
8260,45.555,100.8924053639459,0.0,98.43620755814926,0.0,99.1935483870968,-2.456197805796628
8261,45.474,103.3765711432952,0.0,100.92037333749857,0.0,101.61290322580648,-2.456197805796627
8262,43.84,78.42131765160177,0.0,75.96511984580515,0.0,104.03225806451614,-2.4561978057966263
8263,48.498,34.35036218261559,0.09664973537649067,31.99081411219545,0.0,106.45161290322581,-2.4561978057966263
8264,50.824,38.046310546965294,4.862655887084602,40.45276862825327,0.0,108.87096774193549,-2.4561978057966263
8265,47.624,39.693890434975884,9.785502408948748,47.023195038128,0.0,111.29032258064515,-2.4561978057966263
8266,46.624,39.562614524582095,14.932907408846715,52.039324127632185,0.0,113.70967741935485,-2.4561978057966254
8267,46.882,46.78058584694004,16.53225297717256,60.856641018315976,0.0,116.12903225806451,-2.4561978057966254
8268,47.932,27.893725120970814,9.329090737533791,34.766618052707976,0.0,118.54838709677418,-2.4561978057966254
8269,48.485,18.01864919546607,2.1667056678153425,17.729157057484787,0.0,120.96774193548386,-2.456197805796626
8270,50.53,20.66908834984884,0.0,18.21289054405221,0.0,123.38709677419354,-2.456197805796626
8271,61.979,29.82858933580639,0.0,27.372391530009764,0.0,125.8064516129032,-2.4561978057966254
8272,64.535,33.84041631121945,0.0,31.384218505422826,0.0,128.22580645161287,-2.456197805796625
8273,64.535,22.71579228025932,0.0,20.259594474462695,0.0,130.64516129032253,-2.456197805796625
8274,64.535,25.809159544345917,0.0,23.352961738549293,0.0,133.0645161290322,-2.456197805796625
8275,64.535,16.130087495219115,0.0,13.67388968942249,0.0,135.4838709677419,-2.456197805796625
8276,64.535,36.34932436247168,0.0,33.89312655667505,0.0,137.90322580645156,-2.4561978057966254
8277,64.535,32.656149912065246,0.0,30.19995210626862,0.0,140.32258064516122,-2.456197805796626
8278,50.53,4.342179883562255,0.0,1.885982077765628,0.0,142.74193548387092,-2.456197805796627
8279,46.995,7.23326779264772,0.0,4.7770699868510915,0.0,145.1612903225806,-2.456197805796628
8280,78.778,7.672032625462064,0.0,5.215834819665436,0.0,147.5806451612903,-2.456197805796628
8281,78.778,4.332050050170884,0.0,4.332050050170884,0.0,150.0,0.0
8282,78.778,0.0,0.0,0.0,0.0,150.0,0.0
8283,78.778,0.0,0.0,0.0,0.0,150.0,0.0
8284,78.778,0.0,0.0,0.0,0.0,150.0,0.0
8285,78.778,0.0,0.0,0.0,0.0,150.0,0.0
8286,90.502,0.0,0.0,0.0,0.0,150.0,0.0
8287,103.067,0.0,1.738576372475008,1.738576372475008,0.0,150.0,0.0
8288,99.496,0.0,8.179291655430362,8.179291655430362,0.0,150.0,0.0
8289,87.869,0.0,10.746928038619568,10.746928038619568,0.0,150.0,0.0
8290,79.093,6.759012908146413,12.575761015569622,19.334773923716035,0.0,150.0,0.0
8291,79.093,13.008946036906181,10.344432643191528,23.35337868009771,0.0,150.0,0.0
8292,81.018,8.63315962298087,4.4874387731517515,13.120598396132621,0.0,150.0,0.0
8293,81.018,5.094466908993647,1.2545810469425909,6.349047955936238,0.0,150.0,0.0
8294,87.257,11.184780757240846,0.0,11.184780757240846,0.0,150.00000000000006,0.0
8295,97.231,14.492095309518131,0.0,14.492095309518131,0.0,150.00000000000006,0.0
8296,114.568,19.6706461031517,0.0,19.6706461031517,0.0,150.00000000000006,0.0
8297,105.135,29.913502681813966,0.0,29.913502681813966,0.0,150.00000000000006,0.0
8298,107.168,31.64549719960297,0.0,31.64549719960297,0.0,150.00000000000003,0.0
8299,102.753,31.240644500281327,0.0,31.240644500281327,0.0,150.0,0.0
8300,88.082,33.821649276797935,0.0,33.821649276797935,0.0,150.0,0.0
8301,87.115,29.30479266108311,0.0,29.30479266108311,0.0,150.0,0.0
8302,83.806,30.0014662151967,0.0,30.0014662151967,0.0,150.0,0.0
8303,78.778,20.994883856735683,0.0,20.994883856735683,0.0,150.0,0.0
8304,88.138,18.94267065073243,0.0,18.94267065073243,0.0,150.0,0.0
8305,88.138,30.211381672029518,0.0,30.211381672029518,0.0,150.0,0.0
8306,88.138,16.593481097826057,0.0,16.593481097826057,0.0,150.0,0.0
8307,88.138,2.6173310367038765,0.0,2.6173310367038765,0.0,150.0,0.0
8308,88.138,6.847954589767619,0.0,6.847954589767619,0.0,150.0,0.0
8309,88.138,1.5716114529091236,0.0,1.5716114529091236,0.0,150.0,0.0
8310,98.149,0.0,0.0,0.0,0.0,150.0,0.0
8311,122.802,4.182890190117927,1.0284847082822057,5.211374898400133,0.0,150.0,0.0
8312,103.574,9.064667362027526,6.9822254630031795,16.046892825030707,0.0,150.0,0.0
8313,95.176,1.442195765295086,10.67225905844595,12.114454823741037,0.0,150.0,0.0
8314,90.118,0.0,11.39899892000468,11.39899892000468,0.0,150.00000000000003,0.0
8315,86.266,0.0,10.802521809481142,10.802521809481142,0.0,150.00000000000003,0.0
